epoch,acc,loss,val_acc,val_loss
0,0.525,0.71927661,0.578125,0.671812572
1,0.575,0.696986368,0.628125,0.64825418
2,0.5890625,0.69046497,0.596875,0.652029428
3,0.5984375,0.680570227,0.6640625,0.63085288
4,0.590625,0.664736375,0.63671875,0.643034968
5,0.6296875,0.657842666,0.653125,0.625107476
6,0.6421875,0.632997674,0.6640625,0.646709654
7,0.60625,0.64837265,0.69375,0.603086111
8,0.64375,0.638150793,0.66875,0.612817085
9,0.678125,0.606259598,0.70859375,0.591666394
10,0.6859375,0.583221304,0.6796875,0.628570759
11,0.675,0.594083704,0.6640625,0.682368398
12,0.6640625,0.597091824,0.6890625,0.62663063
13,0.7140625,0.56387431,0.696875,0.631840079
14,0.6875,0.576694556,0.71484375,0.615850612
15,0.696875,0.593348917,0.7046875,0.605473883
16,0.721875,0.549861351,0.75,0.582129698
17,0.725,0.545676322,0.71328125,0.630483744
18,0.7265625,0.523262815,0.759375,0.590930046
19,0.7359375,0.526461604,0.73203125,0.625359531
20,0.7328125,0.530683111,0.75390625,0.589295691
21,0.759375,0.502718283,0.7828125,0.655196677
22,0.73125,0.526015098,0.72421875,0.624644088
23,0.7453125,0.514325267,0.72890625,0.605554466
24,0.7671875,0.511111277,0.74375,0.588991492
25,0.728125,0.523588176,0.7609375,0.578349288
26,0.7796875,0.46907642,0.7859375,0.659157619
27,0.78125,0.453185408,0.75390625,0.752847618
28,0.759375,0.489651874,0.80390625,0.577845023
29,0.7859375,0.445137082,0.79296875,0.6019453
30,0.7828125,0.473552142,0.77578125,0.600011636
31,0.8,0.441447182,0.7921875,0.608124471
32,0.809375,0.426993538,0.80390625,0.583074117
33,0.81875,0.4076473,0.77890625,0.657531364
34,0.8171875,0.410292366,0.8203125,0.576081818
35,0.85,0.384984544,0.77734375,0.795793004
36,0.796875,0.41009713,0.76875,0.872241064
37,0.83125,0.369129797,0.8046875,0.677950555
38,0.8453125,0.351659869,0.8265625,0.736163844
39,0.8421875,0.366802558,0.8015625,0.648115138
40,0.8375,0.371418358,0.821875,0.663637353
41,0.8734375,0.332618802,0.840625,0.68799036
42,0.8390625,0.354929794,0.821875,0.817095263
43,0.840625,0.353842997,0.84609375,0.616703862
44,0.8609375,0.316198134,0.8125,0.762520928
45,0.8546875,0.346860644,0.8296875,0.697456966
46,0.878125,0.296487347,0.778125,0.892555039
47,0.8859375,0.296101341,0.81484375,0.790523861
48,0.8859375,0.277168075,0.81640625,0.914638526
49,0.871875,0.282940377,0.76015625,1.071374163
50,0.871875,0.300956562,0.81328125,0.785443896
51,0.8859375,0.266254523,0.8234375,0.767217046
52,0.9,0.251580512,0.81640625,0.767657262
53,0.88125,0.272559345,0.85390625,0.646584748
54,0.89375,0.258459478,0.834375,0.751626499
55,0.9109375,0.231615539,0.8265625,0.749938721
56,0.875,0.277285273,0.84921875,0.67224959
57,0.896875,0.243155337,0.84765625,0.686740246
58,0.90625,0.23568733,0.85078125,0.718636113
59,0.9140625,0.22194425,0.84921875,0.709738854
60,0.915625,0.224334306,0.8078125,0.846273672
61,0.903125,0.234328682,0.85,0.643156544
62,0.9328125,0.174159262,0.85625,0.649535841
63,0.921875,0.198248473,0.8296875,0.882518322
64,0.9171875,0.188593812,0.86171875,0.61098587
