epoch,loss,val_loss
0,31.803948593139648,17.181946921348572
1,19.32560968399048,17.2419234752655
2,17.53621940612793,16.448029565811158
3,16.544335651397706,15.914305567741394
4,16.23621497154236,14.648793292045593
5,15.09905710220337,14.04738028049469
6,14.743234968185424,12.27009813785553
7,13.403591012954712,10.683172702789307
8,12.344716501235961,9.198774898052216
9,10.33322286605835,7.470680379867554
10,9.684769439697266,6.416016161441803
11,9.028797578811645,6.231089329719543
12,8.14164321422577,6.973833894729614
13,8.51006784439087,6.142751693725586
14,8.70287311077118,5.663553380966187
15,7.472839975357056,6.581386053562165
16,7.910594391822815,6.01119099855423
17,7.215641164779663,5.878025013208389
18,7.532717037200928,5.643604290485382
19,7.802620530128479,6.780146622657776
20,7.45207405090332,6.095363867282868
21,6.678039073944092,5.574999439716339
22,7.072000193595886,6.349169802665711
23,7.087956786155701,6.154695689678192
24,6.941782999038696,5.940398567914963
25,7.045827627182007,6.515803945064545
26,7.139447259902954,5.229411858320236
27,6.385943174362183,5.695241260528564
28,7.0388682126998905,5.548589980602264
29,7.079515862464905,5.942094612121582
30,6.567629313468933,5.562069511413574
31,6.837467885017395,5.371431183815003
32,6.509081912040711,5.633870673179627
33,6.48921000957489,5.324677968025208
34,6.893263864517212,6.337712645530701
35,6.63072407245636,5.288151788711548
36,6.517787933349609,5.338876891136169
37,6.540414476394654,5.566759550571442
38,6.547423267364502,5.767100965976715
39,6.503914737701416,5.149054956436157
40,6.506605887413025,5.481634151935578
41,6.586432075500488,5.8205469965934755
42,6.241763114929199,5.080379348993302
43,6.581850504875183,5.465475308895111
44,6.660773539543152,5.51491641998291
45,6.503088188171387,5.334418904781342
46,6.5486653566360475,5.459200155735016
47,6.242483735084534,5.149857765436172
48,6.124307608604431,5.386195331811905
49,6.24088442325592,5.276113152503967
50,6.267995166778564,5.066646486520767
51,6.06508162021637,5.452022576332093
52,5.815285086631775,5.586362755298614
53,6.5784423828125,5.558817338943482
54,6.162584972381592,5.982394635677338
55,5.995618772506714,5.113682758808136
56,6.3131239175796505,5.114491355419159
57,6.217687106132507,5.058555376529694
58,6.140159606933594,5.390125834941864
59,5.985396957397461,5.436553978919983
60,5.647195768356323,5.735742700099945
61,5.737895464897155,5.442531472444534
62,6.0578882694244385,5.705874288082123
63,6.196402573585511,5.347636830806732
64,6.0652426958084105,5.254383134841919
65,5.817504072189331,5.413083267211914
66,6.1809652090072635,4.94219987988472
67,6.052671599388122,4.867162644863129
68,6.014757180213929,5.190563106536866
69,6.276131558418274,5.144503480195999
70,6.281611156463623,5.286239409446717
71,5.837342023849487,5.36489320397377
72,5.7713786363601685,5.499448293447495
73,5.665113759040833,5.487893044948578
74,5.716185665130615,5.631859230995178
75,6.024626541137695,5.1408193707466125
76,5.854729580879211,5.121490335464477
77,5.728657269477845,5.465873962640762
78,5.851539421081543,5.433203542232514
79,6.065438604354858,5.208476543426514
80,5.928921747207641,5.063137221336365
81,6.047199416160583,4.969718080759049
82,6.351583027839661,4.740713763236999
83,5.702324342727661,5.112879544496536
84,5.953854250907898,5.208313673734665
85,5.759218335151672,5.380759298801422
86,5.935007762908936,4.956624174118042
87,5.759544420242309,5.216877949237824
88,5.624317693710327,5.5445962905883786
89,5.35895938873291,5.286372619867325
90,6.090098333358765,5.171196126937867
91,5.830325102806091,5.373149770498276
92,5.747128033638001,4.98317574262619
93,5.987451767921447,5.3350205540657045
94,5.598913168907165,5.530328726768493
95,5.586171889305115,5.133512163162232
96,6.037653613090515,4.869221717119217
97,5.673076009750366,5.085427415370941
98,5.322249615192414,5.358889937400818
99,5.9557788372039795,4.93252003788948
100,5.689889717102051,4.766748780012131
101,5.7648591756820675,4.8372799277305605
102,6.151421928405762,4.956777936220169
103,5.902540254592895,4.7716083288192745
104,5.856072854995728,4.990013861656189
105,5.629010391235352,5.126399177312851
106,5.849607443809509,5.250523614883423
107,5.643704020977021,5.08504227399826
108,6.026117539405822,4.696421426534653
109,5.755017161369324,5.0385628879070286
110,5.609908127784729,5.269107180833816
111,5.714494669437409,5.24100986123085
112,5.705575275421142,5.060245752334595
113,5.656921362876892,5.968500554561615
114,5.43584930896759,4.591928100585937
115,5.883751296997071,4.615398371219635
116,5.523553371429443,5.170452558994294
117,5.689098763465881,5.18678514957428
118,5.722284984588623,4.751448792219162
119,5.332677435874939,5.00836278796196
120,5.769593369960785,4.907579040527343
121,5.665118336677551,5.530203509330749
122,5.716256523132325,4.84708748459816
123,5.771756100654602,5.229860419034958
124,5.660877346992493,5.143460911512375
125,5.559816884994507,5.042071306705475
126,5.436923003196716,5.556549710035324
127,5.242837238311767,4.608575546741486
128,5.706982421875,5.211043065786361
